id,category,question,optionA,optionB,optionC,optionD,correctAnswer,explanation
G70,general,Which of these elements has the lowest melting point?,Mercury,Lead,Helium,Aluminum,C,"Helium has the lowest melting point of any element, at -272.2°C (-458°F) and 25 atmospheres of pressure. It remains liquid down to absolute zero at normal pressure."
G71,general,What is the study of celestial objects called?,Geology,Meteorology,Astronomy,Seismology,C,"Astronomy is the scientific study of celestial objects such as stars, planets, comets, and galaxies. Geology studies Earth, meteorology studies the atmosphere, and seismology studies earthquakes."
G72,general,Which of these is not a primary color in painting?,Red,Blue,Green,Yellow,C,"In subtractive color mixing (used in painting), the primary colors are red, blue, and yellow. Green is considered a secondary color, created by mixing blue and yellow."
G73,general,What is the largest bird in the world by wingspan?,Albatross,Condor,Ostrich,Eagle,A,"The wandering albatross has the largest wingspan of any living bird, measuring up to 3.7 meters (12 feet). While the ostrich is the largest and heaviest bird, its wingspan is smaller."
G74,general,Which of these chemical elements has the symbol 'K'?,Krypton,Potassium,Kalium,Kobalt,B,"The chemical symbol for potassium is K, derived from the Latin word 'kalium'. Krypton's symbol is Kr, and cobalt (not kobalt) is Co."
G75,general,What is the basic unit of life in all organisms?,Cell,Atom,Molecule,Tissue,A,"The cell is the basic structural, functional, and biological unit of all known living organisms. All organisms are composed of one or more cells."
G76,general,Which of these is not a type of rock?,Igneous,Sedimentary,Metamorphic,Volcanic,D,"The three main types of rocks are igneous, sedimentary, and metamorphic. 'Volcanic' is not a separate type of rock but a specific form of igneous rock formed from lava that reaches the Earth's surface."
G77,general,What is the largest moon in our solar system?,Europa,Titan,Ganymede,Triton,C,"Ganymede, one of Jupiter's moons, is the largest moon in our solar system. It is even larger than the planet Mercury."
G78,general,Which of these is not a color of the visible light spectrum?,Red,Blue,Black,Green,C,"Black is not a color of the visible light spectrum but rather the absence of light. The visible spectrum consists of red, orange, yellow, green, blue, indigo, and violet."
G79,general,What is the largest mammal on land?,African Elephant,Hippo,Rhino,Giraffe,A,"The African elephant is the largest land mammal, weighing up to 6-7 tons. The blue whale is the largest mammal overall, but it lives in the ocean."
G80,general,Which of these is not a wind instrument?,Trumpet,Trombone,Harp,Tuba,C,"The harp is a string instrument, not a wind instrument. Trumpets, trombones, and tubas are all brass wind instruments."
G81,general,What is the scientific study of earthquakes called?,Seismology,Volcanology,Geology,Meteorology,A,"Seismology is the scientific study of earthquakes and the propagation of seismic waves through the Earth. It is a branch of geophysics."
G82,general,Which blood type is known as the universal recipient?,Type O-,Type O+,Type AB+,Type A+,C,"Type AB+ is considered the universal recipient because people with this blood type can receive blood from any blood type. This is because AB+ blood does not produce antibodies against A, B, or Rh antigens."
G83,general,What is the main purpose of the cerebellum in the human brain?,Memory storage,Language processing,Vision processing,Coordination of movement,D,"The cerebellum is primarily responsible for coordinating voluntary movements, maintaining posture and balance, and motor learning."
G84,general,Which of these is not a type of volcano?,Shield,Composite,Cinder cone,Plateau,D,"The three main types of volcanoes are shield volcanoes, composite (or stratovolcanoes), and cinder cone volcanoes. A plateau is a flat elevated landform, not a type of volcano."
G85,general,What is the longest bone in the human body?,Femur,Humerus,Tibia,Radius,A,"The femur (thigh bone) is the longest and strongest bone in the human body, measuring about 26% of a person's height."
G86,general,Which of these is not one of the states of matter?,Solid,Liquid,Gas,Crystal,D,"The four fundamental states of matter are solid, liquid, gas, and plasma. 'Crystal' describes a specific arrangement of atoms in a solid, not a separate state of matter."
G87,general,What is the study of fossils called?,Paleontology,Archaeology,Geology,Anthropology,A,"Paleontology is the scientific study of fossils and prehistoric life forms. Archaeology studies human history through artifacts, geology studies Earth, and anthropology studies human cultures and evolution."
G88,general,Which of these is not a type of human tooth?,Incisor,Canine,Molar,Tusk,D,"Humans have four types of teeth: incisors, canines, premolars, and molars. Tusks are elongated teeth found in certain animals such as elephants and walruses, not in humans."
G89,general,What is the approximate circumference of Earth at the equator?,25,000 km,30,000 km,40,000 km,50,000 km,C,"The circumference of Earth at the equator is approximately 40,075 kilometers (24,901 miles)."
G90,general,Which of these countries is located in the Southern Hemisphere?,Canada,Mexico,Japan,Brazil,D,"Brazil is located primarily in the Southern Hemisphere. Canada, Mexico, and Japan are all located in the Northern Hemisphere."
G91,general,What is the primary gas that causes the greenhouse effect on Earth?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,"Carbon dioxide is the primary greenhouse gas responsible for the greenhouse effect on Earth, though methane, water vapor, and other gases also contribute."
G92,general,Which of these is not a type of cloud formation?,Cumulus,Cirrus,Stratus,Nebula,D,"Cumulus, cirrus, and stratus are types of cloud formations in Earth's atmosphere. A nebula is an interstellar cloud of dust and gas in space, not an atmospheric cloud."
G93,general,What is the fastest land animal?,Cheetah,Lion,Gazelle,Horse,A,"The cheetah is the fastest land animal, capable of reaching speeds up to 70-75 mph (112-120 km/h) in short bursts."
G94,general,Which of these elements is the most abundant in Earth's crust?,Silicon,Oxygen,Aluminum,Iron,B,"Oxygen is the most abundant element in Earth's crust, making up approximately 46% by mass. Silicon is the second most abundant at about 28%."
G95,general,What is the smallest particle of an element that retains its chemical properties?,Atom,Molecule,Electron,Proton,A,"An atom is the smallest particle of an element that retains the chemical properties of that element. Atoms consist of electrons, protons, and neutrons."
G96,general,Which of these animals is not a primate?,Gorilla,Lemur,Koala,Chimpanzee,C,"Koalas are marsupials, not primates. Gorillas, lemurs, and chimpanzees are all primates, belonging to the order Primates."
G97,general,What is the process of converting a gas directly to a solid called?,Condensation,Sublimation,Deposition,Evaporation,C,"Deposition is the phase transition in which a gas transforms directly into a solid without passing through the liquid phase. The reverse process (solid to gas) is called sublimation."
G98,general,Which planet has the shortest day in our solar system?,Mercury,Venus,Jupiter,Earth,C,"Jupiter has the shortest day of any planet in our solar system, rotating once on its axis every 9 hours and 56 minutes despite its large size."
